date,CMRMTSPLx,IPDCONGD,HWI,CES0600000007,AWHMAN,COMPAPFFx,EXSZUSx,DTCTHFNM,cum_return_1_0,fc2y,oa,rel_to_high_price,s2p,suv,dp,tms,svar
196802,0.021990966608131,0.0392366305103637,1,40.2,40.7,1.05,-0.000509341802505503,0.00977008527435608,-0.0647572363,-0.000896271939965221,0.0001188465,-0.0328166918811182,-0.00323869565619717,-0.336580746,0.0351278795214727,0.0044,0.000820445
196803,-0.010080942705514,-0.0298859854549529,1,39.9,40.4,1,0.0060950458810165,-0.0214775663191098,-0.043110075,-0.000176221168978197,-0.000237693,-0.0805023721409711,0.00646693601525694,-0.474141336,-0.00596068330649491,0.0043,0.001395481
196804,-0.00315671644170479,0.0157829010791368,-1,40.4,40.8,0.79,0.0010122389748084,0.00787907770894591,0.042675293,-0.000464617686496194,0.0001188465,-0.0156036385946279,0.00139758343200835,-0.407599806,-0.074247260236008,0.000899999999999998,0.001607575
196805,0.00741470289855251,-0.00213505627742716,1,40.3,40.8,0.59,-0.00396277359424269,0.00267522443036583,0.14404636305,0,0.0002550065,0.107135916918465,0.00149528722111758,0.1845114847,-0.00659547034241248,-0.0019,0.000386531
196806,-0.0019860544220105,0.000939116118265027,2,40,40.3,0.05,0.00156855540556533,0.00382078454603274,-0.0841434151,0.000552732152723001,0,0.0402672195547668,0.00142775467152312,-0.069913177,-0.00462096651617117,-0.0018,0.000499505
196807,0.00698366880714296,0.0125955663260999,0,40.5,40.9,0.07,-0.00300085634116609,0.000553681800790073,-0.04875387995,0,0.000223479,-0.0353483959481218,-0.000835689058786365,-0.306014533,0.0230887460808433,-0.0014,0.000756619
196808,0.00704620203106643,0.0096826284204492,0,40.5,40.9,0.18,-0.00495956890431049,0.00790668550423845,-0.04255319,0,0.000223479,-0.0623598663463614,-0.000835689058786365,-0.456202323,-0.00694198144178104,0.0011,0.000316403
196809,0.00949750010965822,-0.0086242828071299,2,40.4,40.8,0.17,-0.0013716944899953,-0.00250974166415574,0.06705010665,-0.00042013302911692,7.12569999999999e-05,0.0194862655614034,0.000417931826416001,-0.5433309325,-0.0334161526172165,0.0012,0.000268232
196810,-0.0171957709687884,0.0128617765029748,1,40.3,40.7,-0.15,0.00181302639035641,0.000134246107361236,0.03960565105,-0.000420309615071446,7.12570000000008e-05,0.0558520779272307,0.000432136243656844,-0.142691328,-0.00280187443102342,0.000800000000000002,0.000268403
196811,0.0138990498842677,0.0102477284020921,1,40.5,40.9,0.04,-0.00120831895728624,-0.0106334327589028,-0.05722963435,-0.000217917113524813,-7.12570000000008e-05,-0.00915862153625599,0.000646152253635957,0.05556168345,-0.042456179048072,0.0021,0.000262966
196812,0.013451652705335,0.0131495077468795,4,40.5,41,-0.11,-0.00081411446293167,0.00653612852142338,0.0551739633,-0.00199782601604626,0.00022815,0.0496885827890466,-0.00065334173343462,-0.1608240785,0.0468491184516244,0.000199999999999999,0.000333975
196901,0.00858565432655745,0.0229692231709051,0,40.2,40.9,0.1,0.000604834038026025,0.000117553820645711,-0.07825059965,0.00177986140430231,-2.33159999999998e-05,-0.033454460078597,7.1894797986638e-06,-0.297955121,0.011469802906948,0.000299999999999995,0.00060677
196902,-0.00931731919808243,0.00878363322678766,-1,40.3,40.7,0.15,-0.000139544619618404,0.0103692156835322,-0.003796297,0,4.66320000000004e-05,-0.0281138952912998,0.00129188726412494,-0.37408488,0.0517744346013709,0.000600000000000003,0.000595596
